Date,BRL
2019-04-29,3.9326
2019-04-28,3.9643
2019-04-27,3.9643
2019-04-26,3.9643
2019-04-25,3.9956
2019-04-24,3.924
2019-04-23,3.9307
2019-04-22,3.9294
2019-04-21,3.9294
2019-04-20,3.9294
2019-04-19,3.9294
2019-04-18,3.9294
2019-04-17,3.8975
2019-04-16,3.8852
2019-04-15,3.888
2019-04-14,3.8763
2019-04-13,3.8763
2019-04-12,3.8763
2019-04-11,3.8371
2019-04-10,3.8391
2019-04-09,3.8548
2019-04-08,3.8732
2019-04-07,3.8517
2019-04-06,3.8517
2019-04-05,3.8517
2019-04-04,3.8631
2019-04-03,3.8362
2019-04-02,3.8604
2019-04-01,3.8772
2019-03-31,3.9043
2019-03-30,3.9043
2019-03-29,3.9043
2019-03-28,3.975
2019-03-27,3.9244
2019-03-26,3.8586
2019-03-25,3.888
2019-03-24,3.8719
2019-03-23,3.8719
2019-03-22,3.8719
2019-03-21,3.7696
2019-03-20,3.7883
2019-03-19,3.7751
2019-03-18,3.8173
2019-03-17,3.8536
2019-03-16,3.8536
2019-03-15,3.8536
2019-03-14,3.8362
2019-03-13,3.8273
2019-03-12,3.8177
2019-03-11,3.8487
2019-03-10,3.8857
2019-03-09,3.8857
2019-03-08,3.8857
2019-03-07,3.8359
2019-03-06,3.7755
2019-03-05,3.7755
2019-03-04,3.7747
2019-03-03,3.7808
2019-03-02,3.7808
2019-03-01,3.7808
2019-02-28,3.7393
2019-02-27,3.7283
2019-02-26,3.7474
2019-02-25,3.7272
2019-02-24,3.7432
2019-02-23,3.7432
2019-02-22,3.7432
2019-02-21,3.7411
2019-02-20,3.7047
2019-02-19,3.7222
2019-02-18,3.7264
2019-02-17,3.7169
2019-02-16,3.7169
2019-02-15,3.7169
2019-02-14,3.7898
2019-02-13,3.7296
2019-02-12,3.7193
2019-02-11,3.7377
2019-02-10,3.7101
2019-02-09,3.7101
2019-02-08,3.7101
2019-02-07,3.7195
2019-02-06,3.6876
2019-02-05,3.6717
2019-02-04,3.6821
2019-02-03,3.671
2019-02-02,3.671
2019-02-01,3.671
2019-01-31,3.6596
2019-01-30,3.7092
2019-01-29,3.7415
2019-01-28,3.7548
2019-01-27,3.7667
2019-01-26,3.7667
2019-01-25,3.7667
2019-01-24,3.78
2019-01-23,3.8043
2019-01-22,3.7539
2019-01-21,3.7716
2019-01-20,3.745
2019-01-19,3.745
2019-01-18,3.745
2019-01-17,3.7626
2019-01-16,3.7116
2019-01-15,3.7089
2019-01-14,3.7271
2019-01-13,3.7153
2019-01-12,3.7153
2019-01-11,3.7153
2019-01-10,3.6802
2019-01-09,3.6879
2019-01-08,3.7241
2019-01-07,3.695
2019-01-06,3.7612
2019-01-05,3.7612
2019-01-04,3.7612
2019-01-03,3.7728
2019-01-02,3.8545
2019-01-01,3.8812
2018-12-31,3.8812
2018-12-30,3.8787
2018-12-29,3.8787
2018-12-28,3.8787
2018-12-27,3.9365
2018-12-26,3.904
2018-12-25,3.904
2018-12-24,3.904
2018-12-23,3.8636
2018-12-22,3.8636
2018-12-21,3.8636
2018-12-20,3.8491
2018-12-19,3.9031
2018-12-18,3.8996
2018-12-17,3.911
2018-12-16,3.9104
2018-12-15,3.9104
2018-12-14,3.9104
2018-12-13,3.8768
2018-12-12,3.8675
2018-12-11,3.9034
2018-12-10,3.8971
2018-12-09,3.901
2018-12-08,3.901
2018-12-07,3.901
2018-12-06,3.9089
2018-12-05,3.8482
2018-12-04,3.8252
2018-12-03,3.827
2018-12-02,3.8598
2018-12-01,3.8598
2018-11-30,3.8598
2018-11-29,3.8524
2018-11-28,3.862
2018-11-27,3.8852
2018-11-26,3.8553
